Alpha,Cl/Cd,,
-10.0,-43.303,,
-9.5,-45.244,,
-9.0,-46.366,,
-8.5,-46.361,,110.144
-8.0,-45.108,,
-7.5,-42.498,,
-7.0,-38.876,,
-6.5,-34.735,,
-6.0,-30.038,,
-5.5,-25.125,,
-5.0,-21.371,,
-4.5,-14.617,,
-4.0,-6.524,,
-3.5,2.262,,
-3.0,11.592,,
-2.5,21.042,,
-2.0,30.312,,
-1.5,39.031,,
-1.0,47.084,,
-0.5,54.401,,
0.0,61.331,,
0.5,67.306,,
1.0,73.294,,
1.5,79.612,,
2.0,85.057,,
2.5,90.049,,
3.0,94.727,,
3.5,99.753,,
4.0,104.487,,
4.5,107.658,,
5.0,110.144,,
5.5,109.367,,
6.0,102.185,,
6.5,85.891,,
7.0,79.172,,
7.5,77.480,,
8.0,75.794,,
8.5,72.985,,
9.0,67.824,,
9.5,63.444,,
10.0,58.489,,
10.5,53.065,,
11.0,47.158,,
11.5,43.725,,
12.0,40.375,,
12.5,37.125,,
13.0,34.040,,
13.5,30.809,,
14.0,27.689,,
14.5,26.041,,
15.0,24.321,,
15.5,22.736,,
16.0,21.357,,
16.5,20.133,,
17.0,18.794,,
17.5,17.624,,
18.0,16.862,,
18.5,16.123,,
19.0,15.442,,
19.5,14.774,,
20.0,14.060,,
20.5,13.374,,
21.0,12.907,,
21.5,12.443,,
22.0,11.992,,
22.5,11.563,,
23.0,11.107,,
23.5,10.617,,
24.0,10.235,,
25.0,9.557,,
25.5,9.174,,
26.0,8.709,,
26.5,8.398,,
27.0,7.937,,
27.5,7.391,,
28.5,5.711,,
29.0,5.180,,
29.5,4.956,,
30.0,4.833,,
35.0,1.578,,
35.5,1.544,,
36.0,1.517,,
36.5,1.493,,
37.5,1.450,,
38.0,1.413,,
38.5,1.383,,
39.0,1.358,,
39.5,1.332,,
40.0,1.308,,
40.5,1.285,,
41.0,1.263,,
41.5,1.243,,
42.0,1.225,,
42.5,1.207,,
43.0,1.190,,
43.5,1.175,,
44.0,1.162,,
44.5,1.148,,
45.0,1.128,,
